ID,FOTO,ESTADO,IDTRANSPORTE,GPS,TRANSPORTISTA,TELEFONOS,DESTINOS,BODEGAS,HORARIO,OBSERVACIONES
CAP-PDF-01,Documento PDF Encomiendas,Existe - ¿Actualizar?,transp4,,TEMPISQUE,"2221-3541
2256-1962
8789-3003","BAGACES
BELÉN
CARTAGENA
CAÑAS
COMUNIDAD
EL LLANO
FILADELFIA
FLAMINGO
GUARDIA
HOJANCHA
HUACAS
JICARAL
LAS JUNTAS DE ABANGARES
LIBERIA
LIMONAL
MANSIÓN
NANDAYURE
NICOYA
NOSARA
PALMIRA
PASO TEMPISQUE
PLAYA HERMOSA
PLAYA PANAMA
PLAYAS DEL COCO
PORTE GOLPE
POTREO
PUERTO CARRILLO
SANTA CRUZ
SARDINAL
SÁMARA
TAMARINDO
VILLAREAL",BARRIO MEXICO,,[YA EXISTE: transp4] | Tels sugeridos: 8789-3003 | 10 destinos nuevos a revisar | Bodega PDF: BARRIO MEXICO
CAP-PDF-02,Documento PDF Encomiendas,Nuevo - Por Revisar,,,TRANSPORTES GUANACASTE,4080-4903,"27 DE ABRIL
AVELLANAS
BAGACES
BELÉN
BRASILITO
CARTAGENA
CAÑAS
CHIRCÓ
COLORADO
COMUNIDAD
EL LLANO
FILADELFIA
FLAMINGO
GUARDIA
HOJANCHA
HUACAS
JICARAL
LA GARITA
LAS JUNTAS DE ABANGARES
LIBERTAD
LOS JOCOTES
MATAPALO
NANDAYURE
NICOYA
PALMIRA
PARAÍSO
PASO TEMPISQUE
PINILLA
PLAYA GRANDE
PLAYA HERMOSA
PLAYA NEGRA
PLAYA PANAMA
PLAYA POTRERO
PLAYAS DEL COCO
PORTE GOLPE
SAN PEDRO
SANTA CRUZ
SARDINAL
TAMARINDO
VILLAREAL",BARRIO MEXICO,,[NUEVO EN PDF] Bodega: BARRIO MEXICO | 40 destinos extraídos para auditar.
CAP-PDF-03,Documento PDF Encomiendas,Existe - ¿Actualizar?,transp3,,ENCOMIENDAS EL MACHO,"8701-7325
2695-2158","BAGACES
CAÑAS
CHOMES
FILADELFIA
LAS JUNTAS
LIBERIA
NICOYA
SANTA CRUZ
TILARAN",CALLE BLANCOS,,[YA EXISTE: transp3] | Tels sugeridos: 8701-7325 | 2 destinos nuevos a revisar | Bodega PDF: CALLE BLANCOS
CAP-PDF-04,Documento PDF Encomiendas,Nuevo - Por Revisar,,,PACIFICO EXPRESS GUANACASTE,4703-7979,"27 DE ABRIL
BRASILITO
CARTAGENA
CHIRCÓ
COMUNIDAD
EL COCO
EL LLANO
FILADELFIA
FLAMINGO
HOJANCHA
HUACAS
JICARAL
LIBERIA
LIMONAL
MATAPALO
NANDAYURE
NICOYA
PASO TEMPISQUE
PINILLA
PLAYA GRANDE
PLAYA HERMOSA
PLAYA POTRERO
PORTE GOLPE
SAN PEDRO
SANTA CRUZ
SARDINAL
TAMARINDO
VILLAREAL",BARRIO MEXICO,,[NUEVO EN PDF] Bodega: BARRIO MEXICO | 28 destinos extraídos para auditar.
CAP-PDF-05,Documento PDF Encomiendas,Existe - ¿Actualizar?,b8816262,,TRANSUR,2222-7494,"CHARARITA
CHOMES
CIUDAD CORTES
COLORADO
CUERVITO
CUIDAD NEILY
DOMINICAL
GOLFITO
LA CUESTA
MATAPALO
OJOCHAL
PALMAR NORTE
PALMAR SUR
PARRITA
PASO CANOAS
PIEDRAS BLANCAS
QUEPOS
RÍO CLARO
SAN VITO
SERENO
UVITA",BARRIO MEXICO,,[YA EXISTE: b8816262] | 7 destinos nuevos a revisar | Bodega PDF: BARRIO MEXICO
CAP-PDF-06,Documento PDF Encomiendas,Existe - ¿Actualizar?,c6e2dbc8,,ENCOMIENDAS PACIFICO CENTRAL,"8837-7979
8992-7283","ATENAS
EL ROBLE
ESPARZA
ESTERILLOS
HERRADURA
JACO
JACÓ
MANUEL ANTONIO
OROTINA
PARRITA
PLAYA HERMOSA
PUNTARENAS
QUEBRADA GANADO
QUEPOS
TURRUCARES",BARRIO MEXICO,,[YA EXISTE: c6e2dbc8] | Tels sugeridos: 8992-7283 | 1 destinos nuevos a revisar | Bodega PDF: BARRIO MEXICO
CAP-PDF-07,Documento PDF Encomiendas,Existe - ¿Actualizar?,TRP-0046,,TRANSPORTES GOLFO EXPRESS,2221-0338,"BARRANCA
CÓBANO
MIRAMAR
MONTEZUMA
PAQUERA
SANTA TERESA","PAVAS / BARRIO MEXICO
BARRIO MEXICO",,"[YA EXISTE: TRP-0046] | 2 destinos nuevos a revisar | Bodega PDF: PAVAS / BARRIO MEXICO
BARRIO MEXICO"
CAP-PDF-08,Documento PDF Encomiendas,Existe - ¿Actualizar?,69833490,,TRANSPORTES DAMAKA,2220-3400,"ATENAS
GRECIA
MAL PAÍS
NARANJO
PALMARES
SAN RAMÓN
SARCHÍ
TAMBOR
ZARCERO","PAVAS / BARRIO MEXICO
PAVAS",,"[YA EXISTE: 69833490] | Tels sugeridos: 2220-3400 | 4 destinos nuevos a revisar | Bodega PDF: PAVAS / BARRIO MEXICO
PAVAS"
CAP-PDF-09,Documento PDF Encomiendas,Existe - ¿Actualizar?,TRP-0051,,TRANSPORTES UPALA EXPRESS,8737-7373,"BIJAGUA
CANELETE
LA GARITA
RIO BAGACES
RIO NARANJO
TURRUCARES",PAVAS,,[YA EXISTE: TRP-0051] | 4 destinos nuevos a revisar | Bodega PDF: PAVAS
CAP-PDF-10,Documento PDF Encomiendas,Existe - ¿Actualizar?,TRP-0040,,TRANSPORTES CORCOVADO,2220-3400,"AMAPOLA
CAÑAZA
COLONIA
DRAKE
LA PALMA
MONTERREY
UPALA",PAVAS,,[YA EXISTE: TRP-0040] | Tels sugeridos: 2220-3400 | 7 destinos nuevos a revisar | Bodega PDF: PAVAS
CAP-PDF-11,Documento PDF Encomiendas,Existe - ¿Actualizar?,TRP-A8FFEDEA,,TRANSPORTES CENTENO,8930-9711,"JUAN VIÑAS
LA SUIZA
PAVONES
PEJIBAYE
PUERTO JIMÉNEZ
SÁNDALO
TUCURRIQUE
TUIS
TURRIALBA","PAVAS / BARRIO MEXICO
PAVAS",,"[YA EXISTE: TRP-A8FFEDEA] | 2 destinos nuevos a revisar | Bodega PDF: PAVAS / BARRIO MEXICO
PAVAS"
CAP-PDF-12,Documento PDF Encomiendas,Existe - ¿Actualizar?,991ac054,,YUBA,2248-1573,"CAÑAS
CHITARIA
TRES X","PAVAS / BARRIO MEXICO
PASEO COLÓN",,"[YA EXISTE: 991ac054] | 2 destinos nuevos a revisar | Bodega PDF: PAVAS / BARRIO MEXICO
PASEO COLÓN"
CAP-PDF-13,Documento PDF Encomiendas,Nuevo - Por Revisar,,,TRALI,"2255-3867
2221-6147","BATAAN
CAHUITA
GUACIMO
GUAPILES
LA GUARIA
LIMÓN
NUEVO ARENAL
POCORA
PUERTO VIEJO
SIQUIRRES
TILARAN
VALLE LA ESTRELLA","TIBÁS
PASEO COLÓN",,"[NUEVO EN PDF] Bodega: TIBÁS
PASEO COLÓN | 12 destinos extraídos para auditar."
CAP-PDF-14,Documento PDF Encomiendas,Nuevo - Por Revisar,,,TRANSPORTES LA COSTA,2258-0134,"BRIBRI
PUERTO VIEJO
RÍO FRÍO","TIBÁS
BARRIO MEXICO",,"[NUEVO EN PDF] Bodega: TIBÁS
BARRIO MEXICO | 3 destinos extraídos para auditar."
CAP-PDF-15,Documento PDF Encomiendas,Nuevo - Por Revisar,,,TRANSPORTES VALEMOR,6141-3698,"BRIBRI
GUAPILES
HOME GREEK
PUERTO VIEJO
SIQUIRRES
SIXAOLA
TALAMANCA","CALLE BLANCOS / PAVAS
BARRIO MEXICO",,"[NUEVO EN PDF] Bodega: CALLE BLANCOS / PAVAS
BARRIO MEXICO | 7 destinos extraídos para auditar."
