DESTINO,PROVINCIA,CANTON,REGION_SOCIOECONOMICA,ZONA_LOGISTICA
27 DE ABRIL,GUANACASTE,,CHOROTEGA,GUANACASTE
ABANGARES,GUANACASTE,,CHOROTEGA,GUANACASTE
ABANGARITOS,PUNTARENAS,PUNTARENAS,PACÍFICO CENTRAL,PACÍFICO CENTRAL
ACOSTA,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
AEROPUERTO NOSARA,GUANACASTE,,CHOROTEGA,GUANACASTE
AGUA BUENA,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
AGUA CALIENTE,CARTAGO,CARTAGO,CENTRAL,VALLE CENTRAL
AGUAS ZARCAS,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
ALAJUELA,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
ALTO MONTERREY,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
ARENAL,GUANACASTE,,CHOROTEGA,GUANACASTE
ARENALES,GUANACASTE,,CHOROTEGA,GUANACASTE
ASERRÍ,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
ASERRÍ CENTRO,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
ATENAS,ALAJUELA,,CENTRAL (OCCIDENTE),OCCIDENTE
ATIRRO,CARTAGO,TURRIALBA,CENTRAL,VALLE CENTRAL
BAGACES,GUANACASTE,,CHOROTEGA,GUANACASTE
BAHÍA BALLENA,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
BAJO LOS RODRÍGUEZ,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
BAJO RODRÍGUEZ,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
BANANITO,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
BARCO QUEBRADO,GUANACASTE,NICOYA,CHOROTEGA,GUANACASTE
BARRANCA,PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
BARU,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
BATAAN,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
BELEN DE CARRILLO,GUANACASTE,,CHOROTEGA,GUANACASTE
BELÉN,GUANACASTE,,CHOROTEGA,GUANACASTE
BIJAGUA,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
BIRRISITO,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
BOCA ARENAL,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
BRASILITO,GUANACASTE,,CHOROTEGA,GUANACASTE
BRIBRI,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
BUENOS AIRES,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
BUENOS AIRES CENTRO,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
BUENOS AIRES DE CUTRIS,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
CABECERAS,GUANACASTE,TILARÁN,CHOROTEGA,GUANACASTE
CABECERAS DE TILARAN,GUANACASTE,TILARÁN,CHOROTEGA,GUANACASTE
CABO BLANCO,PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
CABUYA,PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
CACHI,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
CAHUITA,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
CAIMITAL,GUANACASTE,NICOYA,CHOROTEGA,GUANACASTE
CAIMITAL -NICOYA-,GUANACASTE,,CHOROTEGA,GUANACASTE
CAIRO,LIMÓN,SIQUIRRES,HUETAR CARIBE,LIMÓN Y CARIBE
CAJON,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
CANALETE,ALAJUELA,UPALA,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
CANDELARIA,ALAJUELA,,CENTRAL (OCCIDENTE),OCCIDENTE
CAPELLADES,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
CARIARI,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
CARRILLO,GUANACASTE,,CHOROTEGA,GUANACASTE
CARTAGENA,GUANACASTE,,CHOROTEGA,GUANACASTE
CARTAGO,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
CARTAGO CENTRO,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
CAÑAS,GUANACASTE,,CHOROTEGA,GUANACASTE
CAÑAS GORDAS,GUANACASTE,,CHOROTEGA,GUANACASTE
CERRO CORTÉS,ALAJUELA,SAN CARLOS,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
CERRO CORTÉZ,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
CERVANTES,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
CHACARITA,PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
CHACHAGUA,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
CHIRCO,GUANACASTE,,CHOROTEGA,GUANACASTE
CHITARA,CARTAGO,TURRIALBA,CENTRAL,VALLE CENTRAL
CHOMES,GUANACASTE,,CHOROTEGA,GUANACASTE
CIENEGUITA,LIMÓN,LIMÓN,HUETAR CARIBE,LIMÓN Y CARIBE
CIUDAD COLON,SAN JOSÉ,MORA,CENTRAL,VALLE CENTRAL
CIUDAD CORTES,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
CIUDAD NEILLY,PUNTARENAS,CORREDORES,BRUNCA,ZONA SUR
CIUDAD NEILY,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
CIUDAD QUESADA,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
COBANO,PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
COCORI,LIMÓN,POCOCÍ,HUETAR CARIBE,LIMÓN Y CARIBE
COLONIA,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
COLONIA DE UPALA,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
COLORADO,GUANACASTE,,CHOROTEGA,GUANACASTE
"COLORADO, POCOCI",GUANACASTE,,CHOROTEGA,GUANACASTE
COMTE,PUNTARENAS,GOLFITO,BRUNCA,ZONA SUR
COMUNIDAD,GUANACASTE,,CHOROTEGA,GUANACASTE
CONTE,PUNTARENAS,GOLFITO,BRUNCA,ZONA SUR
COOPER,ALAJUELA,SAN CARLOS,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
COPA BUENA,PUNTARENAS,COTO BRUS,BRUNCA,ZONA SUR
CORONADO,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
CORRALILLO,GUANACASTE,NICOYA,CHOROTEGA,GUANACASTE
CORRALILLO SAN JUAN NORTE,GUANACASTE,NICOYA,CHOROTEGA,GUANACASTE
CORREDORES,PUNTARENAS,CORREDORES,BRUNCA,ZONA SUR
COSTA DE PAJAROS,PUNTARENAS,PUNTARENAS,PACÍFICO CENTRAL,PACÍFICO CENTRAL
COT,CARTAGO,OREAMUNO,CENTRAL,VALLE CENTRAL
COTO BRUS,PUNTARENAS,COTO BRUS,BRUNCA,ZONA SUR
CRUCE DE GUÁPILES,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
CRUCE DE RÍO FRÍO,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
CUERVITO,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
CUESTA GRANDE,GUANACASTE,NICOYA,CHOROTEGA,GUANACASTE
CURIME,GUANACASTE,,CHOROTEGA,GUANACASTE
CURIME -NICOYA-,GUANACASTE,,CHOROTEGA,GUANACASTE
DOMINICAL,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
DOMINICAS,PUNTARENAS,OSA,BRUNCA,ZONA SUR
DOTA,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
DULCE NOMBRE,CARTAGO,CARTAGO,CENTRAL,VALLE CENTRAL
EL 2 TILARAN,GUANACASTE,,CHOROTEGA,GUANACASTE
EL COCO,GUANACASTE,,CHOROTEGA,GUANACASTE
EL EMPALME,SAN JOSÉ / CARTAGO,EL GUARCO,CENTRAL,VALLE CENTRAL / CERRO
EL HUMO,LIMÓN,POCOCÍ,HUETAR CARIBE,LIMÓN Y CARIBE
EL LLANO,GUANACASTE,,CHOROTEGA,GUANACASTE
EL ROBLE,PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
EL ROSARIO,ALAJUELA,NARANJO,CENTRAL,OCCIDENTE
EL TANQUE,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
EL TANQUE LA FORTUNA,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
ESCAZU,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
ESLABÓN,SAN JOSÉ,ASERRÍ,CENTRAL,VALLE CENTRAL
ESPARZA,PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
ESPERANZA -NOSARA-,GUANACASTE,,CHOROTEGA,GUANACASTE
ESTERILLOS,PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
ESTRADA,LIMÓN,MATINA,HUETAR CARIBE,LIMÓN Y CARIBE
FILA TIGRE,PUNTARENAS,COTO BRUS,BRUNCA,ZONA SUR
FILADELFIA,GUANACASTE,,CHOROTEGA,GUANACASTE
FINCA 11,PUNTARENAS,PALMAR SUR / OSA,BRUNCA,ZONA SUR
FINCA 96,PUNTARENAS,PALMAR SUR / OSA,BRUNCA,ZONA SUR
FLAMINGO,GUANACASTE,,CHOROTEGA,GUANACASTE
FLORENCIA,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
FORTUNA,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
FORTUNA BAGACES,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
FRAILES,SAN JOSÉ,DESAMPARADOS,CENTRAL,VALLE CENTRAL / LOS SANTOS
FRONTERA LA UNIÓN,PUNTARENAS,COTO BRUS,BRUNCA,ZONA SUR
FRONTERA RÍO SERENO,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
GARZA,GUANACASTE,NICOYA,CHOROTEGA,GUANACASTE
GENERAL VIEJO,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
GOLFITO,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
GRECIA,ALAJUELA,,CENTRAL (OCCIDENTE),OCCIDENTE
GUACIMAL,PUNTARENAS,PUNTARENAS,PACÍFICO CENTRAL,PACÍFICO CENTRAL
GUACIMO,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
GUADARRAMA,GUANACASTE,NICOYA,CHOROTEGA,GUANACASTE
GUADIA,GUANACASTE,CARRILLO,CHOROTEGA,GUANACASTE
GUANACASTE,GUANACASTE,PROVINCIA,CHOROTEGA,GUANACASTE
GUAPILES,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
GUATUSO,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
GUAYABO BAGACES,GUANACASTE,,CHOROTEGA,GUANACASTE
GUIONES,GUANACASTE,NICOYA,CHOROTEGA,GUANACASTE
HERRADURA,PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
HOJANCHA,GUANACASTE,,CHOROTEGA,GUANACASTE
HONE CREEK,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
HORQUETAS,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
HOYON,SAN JOSÉ,PÉREZ ZELEDÓN,BRUNCA,PÉREZ ZELEDÓN / ZONA SUR
HUACAS,GUANACASTE,,CHOROTEGA,GUANACASTE
JABILLO,ALAJUELA,SAN CARLOS,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
JABILLOS,ALAJUELA,SAN CARLOS,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
JACO,PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
JICARAL,GUANACASTE,,CHOROTEGA,GUANACASTE
JICARITO,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
JIMENEZ,CARTAGO,JIMÉNEZ,CENTRAL,VALLE CENTRAL
JORCO,SAN JOSÉ,ASERRÍ,CENTRAL,VALLE CENTRAL
JUAN VILLAS,CARTAGO,JIMÉNEZ,CENTRAL,VALLE CENTRAL
JUAN VIÑAS,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
JUDAS DE CHOMES,GUANACASTE,,CHOROTEGA,GUANACASTE
KATIRA,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
LA ADMINISTRACIÓN,LIMÓN,SIQUIRRES,HUETAR CARIBE,LIMÓN Y CARIBE
LA ALEGRIA,LIMÓN,SIQUIRRES,HUETAR CARIBE,LIMÓN Y CARIBE
LA CRUZ,GUANACASTE,,CHOROTEGA,GUANACASTE
LA CUESTA,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
LA ESPERANZA,CARTAGO,PARAÍSO,CENTRAL,VALLE CENTRAL
LA FILA,PUNTARENAS,COTO BRUS,BRUNCA,ZONA SUR
LA FORTUNA,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
LA GARITA,GUANACASTE,,CHOROTEGA,GUANACASTE
LA MARINA,ALAJUELA,SAN CARLOS,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
LA PALMA,PUNTARENAS / SAN JOSE,,BRUNCA,ZONA SUR
LA PALMERA,ALAJUELA,SAN CARLOS,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
LA PITAYA,CARTAGO,CARTAGO,CENTRAL,VALLE CENTRAL
LA RITA,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
LA ROXANA,LIMÓN,,HUETAR CARIBE,LIMON Y CARIBE
LA SUIZA,SAN JOSÉ / CARTAGO / HEREDIA,,CENTRAL,VALLE CENTRAL
LA TIGRA,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
LA VIRGEN,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
LA VIRGEN DE SARAPIQUÍ,ALAJUELA / HEREDIA,,HUETAR NORTE,SAN CARLOS Y ZONA NORTE
LAGARTO,GUANACASTE,SANTA CRUZ,CHOROTEGA,GUANACASTE
LAGUNILLA,GUANACASTE,SANTA CRUZ,CHOROTEGA,GUANACASTE
LAS FINCAS,PUNTARENAS,OSA,BRUNCA,ZONA SUR
LAS JUNTAS DE ABANGARES,GUANACASTE,,CHOROTEGA,GUANACASTE
"LAS JUNTAS, PUNTARENAS",PUNTARENAS,,PACIFICO CENTRAL,PACIFICO CENTRAL
LAS PALMITAS,LIMÓN,POCOCÍ,HUETAR CARIBE,LIMÓN Y CARIBE
